时间,北京,唐山,天津,秦皇岛,石家庄,包头,太原,丹东,呼和浩特,锦州,沈阳,吉林,大连,牡丹江,长春,无锡,哈尔滨,扬州,上海,徐州,南京,温州,杭州,金华,宁波,蚌埠,合肥,安庆,福州,泉州,厦门,九江,南昌,赣州,济南,烟台,青岛,济宁,郑州,洛阳,武汉,平顶山,长沙,宜昌,广州,襄阳,深圳,岳阳,南宁,常德,海口,惠州,重庆,湛江,成都,韶关,贵阳,桂林,昆明,北海,西安,三亚,兰州,泸州,西宁,南充,银川,遵义,乌鲁木齐,大理
201712,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
201801.0,100.2,100.7,100.5,100.8,100.1,100.8,100.5,100.1,100.1,100.4,100.9,100.5,101.6,100.3,100.7,99.7,100.1,100.9,99.6,100.6,99.7,100.4,100.0,100.2,100.7,99.9,99.9,100.5,100.0,99.7,99.7,100.5,99.9,100.2,100.5,101.0,100.1,100.2,99.7,100.5,100.4,100.6,100.4,100.9,99.6,101.2,100.0,100.0,100.1,100.3,100.4,100.0,100.3,100.1,100.2,99.5,101.0,99.8,101.4,99.7,100.6,100.9,100.4,100.8,100.2,100.3,100.4,101.1,100.4,100.7
201802.0,99.8994,100.90140000000001,100.6005,101.4048,100.20009999999998,101.2032,100.5,99.8998,100.6005,101.2032,101.20270000000001,100.80149999999999,102.61599999999999,100.50059999999999,100.7,99.3012,100.80069999999999,101.40450000000001,99.4008,101.60599999999998,99.6003,100.4,99.9,100.2,100.90140000000001,99.9,99.6003,100.80149999999999,99.9,99.79969999999999,99.6003,100.902,99.70020000000001,100.2,100.3995,101.303,100.1,100.60080000000002,99.7,100.5,100.29960000000001,101.103,100.60080000000002,101.50540000000001,99.20159999999998,100.9976,99.4,100.4,100.40029999999999,100.09939999999999,100.60080000000002,100.4,100.6009,100.20009999999998,100.2,99.7985,101.40400000000001,99.8998,101.7042,100.09880000000001,101.103,101.90900000000002,100.902,101.2032,100.90140000000001,102.0051,100.902,101.70659999999998,101.7052,101.6063
201803.0,99.9992994,101.7086112,100.6005,102.8244672,100.90150069999999,101.8104192,101.103,100.29939920000001,101.10350249999999,102.1140288,101.70871350000002,101.10390449999998,103.334312,101.003103,101.70700000000001,99.2018988,101.70790629999999,102.012927,99.5996016,102.317242,99.3014991,100.29960000000001,100.1997,100.50059999999999,101.2041042,99.6003,99.6003,100.80149999999999,99.50040000000001,99.89949969999998,99.4010994,101.40651,100.2984012,100.4004,100.600299,101.708212,100.50040000000001,101.00320320000003,99.6003,100.902,100.09900080000001,101.20410299999999,100.90260240000002,102.41894860000002,99.40000319999999,101.1995952,99.30060000000002,101.1028,100.9023015,100.09939999999999,102.71341680000002,100.29960000000001,101.3051063,100.50070029999998,100.4004,100.39729100000001,102.11382800000001,100.49919879999999,102.51783359999999,100.89959040000002,102.012927,102.62236300000002,101.305608,101.5068096,100.90140000000001,102.6171306,101.709216,102.62195939999998,102.5188416,102.5207567
201804.0,100.19929799879999,102.42057147840002,100.7011005,103.54423847039999,101.20420520209998,102.42128171519998,102.518442,102.30538718400001,102.114537525,102.8288270016,102.52238320800001,101.71052792699999,104.47098943199998,101.811127824,102.622363,99.0034950024,103.0301090819,102.93104334300001,99.50000199840001,103.135779936,99.1028961018,100.19930040000001,100.29989970000001,101.8071078,102.31734934619999,99.6003,99.4010994,100.49909549999998,99.40089960000002,99.89949969999998,99.69930269820001,101.60932301999999,100.59929640360001,100.6012008,100.700899299,102.92871054400001,100.60090040000001,101.60922241920004,100.09830149999999,101.60831400000001,99.89880279840001,102.418552236,101.10440760480002,102.72620544580002,99.30060319679998,101.8067927712,99.39990060000002,101.3050056,101.10410610299999,100.59989699999998,104.66497171920003,100.39989960000001,102.4194624693,100.70170170059998,100.7016012,100.79888016400002,103.44130776400002,101.20269319159999,103.2354584352,101.70678712320002,103.645133832,104.57218789700002,101.81213604,101.9128368384,100.69959720000001,103.64330190599999,102.31947129599999,103.44293507519998,103.6465488576,103.7510057804
201805.0,100.39969659479759,102.72783319283522,101.2046060025,104.16550390122238,102.41865566452519,103.24065196892157,103.236071094,107.727572704752,103.7483701254,103.13731348260481,104.26526372253602,102.11737003870799,106.24699625234398,101.811127824,103.956453719,98.90449150739761,104.2664703908828,103.54862960305802,99.30100199440321,104.47654507516799,98.90469030959639,100.2994997004,100.29989970000001,102.41795044679999,102.828936092931,99.79950060000002,99.5999015988,100.39859640449998,98.30748970440001,99.79960020029999,100.79599502788022,102.42219760415999,101.3034914784252,101.00360560320001,101.10370289619601,103.752140228352,102.61291840800003,102.42209619855363,101.69987432399999,102.014747256,100.9976896291824,103.23790065388799,102.7220781264768,103.54801508936642,101.08801405434238,101.90859956397118,99.30050069940003,102.318055656,101.40741842130899,101.30409627899999,106.86293612530322,100.70109929880002,103.34123763152371,100.80240340230057,102.81633482519999,101.30287456482003,104.06195561058401,101.80990935074959,104.1645775611168,102.82556178155521,105.303455973312,107.08192040652803,102.52482099228,102.6262266962688,100.8002967972,105.094308132684,102.728749181184,104.16703562072638,104.8903074438912,104.58101382664321
201806.0,100.39969659479759,103.96056719114924,101.50821982050749,105.31132444413582,102.72591163151876,104.27305848861079,103.85548752056398,111.28258260400882,104.88960219677939,103.65300005001784,105.72497741465153,103.44489584921119,108.15944218488616,103.94916150830399,105.61975697850399,98.80558701589021,105.72620097635516,104.0663727510733,99.30100199440321,105.103404345619,98.70688092897718,100.70069769920161,100.90169909820001,102.7252042981404,103.13742290120979,99.50010209820002,99.6995015003988,101.50298096494947,100.47025447789682,100.19879860110119,100.79599502788022,103.03673078978494,102.92434734208,101.60962723681922,104.74343620045906,104.68590949040717,105.07562844979203,103.75358344913482,103.53047206183199,102.218776750512,102.2096619047326,102.92818695192632,104.77651968900635,104.99768730061754,103.0086863213749,102.62195976091898,99.59840220149823,103.03428204559201,103.43556678973516,101.81061676039499,111.03059063419005,101.20460479529402,105.20137990889114,101.20561301590979,104.46139618240319,102.01199468677378,105.31069907791101,102.52257871620485,106.14370453477802,104.16229408471543,106.46179398901842,110.50854185953693,103.85764366517964,103.9603676433203,103.52190481072441,106.35543983027621,104.16695166972059,105.10453894131292,105.83432021088623,105.83598599256293
201807.0,100.60049598798717,105.72789683339877,101.50821982050749,106.25912636413304,104.78042986414914,106.14997354140579,105.10175337081074,111.83899551702888,107.4069526495021,104.17126505026792,107.20512709845667,105.10001418279857,109.24103660673501,105.40444976942024,106.57033479131053,100.28767082112856,108.05217739783497,106.98023118810335,99.2017009924088,107.52078264556823,98.60817404804823,100.90209909460002,101.70891269098561,103.95790674971808,104.06565970732068,101.58960424226221,100.29769850940119,102.01049586977422,101.77636778610947,100.09859980250009,100.79599502788022,104.17013482847257,104.77698559423743,102.11767537300331,107.88573928647284,107.72180086562898,107.17714101878788,105.20613361742271,104.87636819863579,103.34318329476764,103.33396818568464,103.75161244754172,107.60548572060952,108.04262023233545,103.62673843930314,104.98226483542012,100.09639421250573,103.85855630195674,104.26305132405305,101.91242737715538,113.5842942187764,101.60942321447519,106.56899784770673,102.21766914606889,105.50601014422722,102.42004266552087,107.2062916613134,103.03519160978587,109.2218719662866,104.5789432610543,107.73933551688664,114.5973579083398,104.58464717083591,104.4801694815369,103.93599242996731,107.20628334891842,105.2086211864178,106.15558433072606,106.04598885130801,107.52936176844392
201808.0,100.60049598798717,108.79400584156734,101.71123626014851,109.23438190232876,105.72345373292649,108.80372287994092,107.09868668485615,112.286351499097,110.52175427633767,104.79629264056952,108.38438349653968,107.51731450900293,110.33344697280236,106.77470761642269,107.42289746964101,103.69745162904694,109.02464699441549,108.26399396236059,99.3009026934012,111.06896847287199,98.60817404804823,101.60841378826223,102.31916616713151,105.10144372396496,106.1469729014671,103.41821711862292,101.9024616855516,103.94869529129994,104.0154478774039,100.9994872007226,100.69519903285234,105.73268685089967,106.24386339255676,104.16002888046337,110.90653998649408,109.01446247601652,108.89197527508848,106.9946378889189,106.44951372161533,104.066585577831,104.78064374028423,104.4778737346745,109.75759543502173,109.33913167512348,104.55937908525688,108.02675051564731,100.59687618356826,106.24730309690175,106.03552319656195,104.66406291633857,114.6065528667454,102.32068917697652,107.6346878261838,104.1598048598442,106.66657625581371,103.85392326283817,109.13600491121704,103.65340275944457,110.8602000457809,107.82089050214698,110.97151558239324,114.71195526624814,105.83966293688594,106.36081253220456,105.49503231641683,109.9936467159903,106.99716774658691,107.74791809568694,107.53063269522632,109.57241964204435
201809.0,100.60049598798717,110.31712192334929,102.01636996892896,111.30983515847302,106.88641172398867,109.34774149434062,108.1696735517047,113.40921501408796,113.61636339607512,106.78742220074035,109.7933804819947,108.70000496860195,110.99544765463918,108.37632823066902,107.6377432645803,104.21593888719217,110.4419674053429,109.77968987783365,99.20160179070781,112.40179609454646,99.00260674424042,101.81163061583875,102.52380449946578,104.99634228024101,106.46541382017149,105.27974502675814,102.81958384072158,105.61187441596074,105.15961780405534,100.9994872007226,100.69519903285234,106.47281565885596,107.0938142996972,105.30578919814847,112.3483250063185,109.77756371334864,109.32754317618884,107.63660571625242,106.8753117765018,105.93978411823197,105.09498567150509,105.94056396695994,110.41614100763185,110.76054038690009,104.97761660159792,108.67491101874118,100.39568243120111,107.52227073406456,106.45966528934821,106.12935979716731,114.95037252534563,102.72997193368442,108.8186693922718,104.99308329872296,107.4132422896044,104.47704680241519,111.4278610143526,104.68993678703902,113.07740404669651,108.68345762616414,117.85174954850163,114.94137917678064,107.10973889212858,109.12619365804187,107.71042799506156,111.97353235687811,107.96014225630621,108.9331451947395,107.96075522600722,111.216005936675
201810.0,100.80169697996314,111.64092738642948,102.11838633889788,113.64734169680094,110.4136633108803,110.87860987526139,108.71052191946323,113.86285187414433,115.43422521041231,108.28244611155073,111.44028118922462,110.33050504313098,111.77241578822166,110.21872581059039,108.60648295396153,104.63280264274094,112.65080675344976,111.09704615636765,99.30080339249851,114.53743022034286,99.20061195772891,101.70981898522292,103.75409015345939,105.10133862252125,106.46541382017149,105.91142349691869,103.4365013437659,107.93533565311189,106.2112139820959,101.20148617512405,100.59450383381949,107.1116525528091,107.522189556896,105.93762393333736,113.13476328136274,111.09489447790882,109.98350843524597,109.68170122486123,107.94406489426682,107.42294109588721,107.72236031329273,106.25838565886083,110.52655714863948,111.09282200806079,105.1875718348011,111.39178379420972,99.8937040190451,108.27492662920302,106.77904428521624,108.35807635290782,115.6400747604977,103.34635176528653,109.68921874740998,106.56797954820381,109.23926740852767,104.89495498962486,116.1078311769554,105.4227663445483,114.66048770335027,109.98765911767812,119.38382229263215,114.82643779760387,108.93060445329476,110.87221275657053,108.78753227501218,113.76510887458815,108.17606254081882,111.00287495343954,108.28463749168525,113.55154206134517
